step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
175.0,48,269.0,1.0674603174603174,7.502845907673361,4,25.0,0.586988646388293,1,6.0,0.832848890053628,4,43.0,0.2919441659300002,7,67.0,0.13651902635858848,7,34.0,0.4753746206353762,1,5.0,0.5973741321469981,1,5.0,0.5632753430267209,3,66.0,0.09443898146747032,2,18.0,0.33857299717960343,0,7.0,0.7412963444970487,3,17.0,0.5322586108182911,6,66.0,0.4967605293206224,7,35.0,0.4804649759399193,0,13.0,0.4799063043927275,1,41.0,0.5391357994081223,1,19.0,0.21277145265742786,48,467.0
180.0,53,248.0,1.0205761316872428,7.736384950055534,6,52.0,0.45194395793775227,2,10.0,0.7366505602946256,5,29.0,0.419791242537802,1,60.0,0.6212147568942078,4,39.0,0.2713712300532592,5,22.0,0.4291186690070859,6,27.0,0.2058241985866875,0,31.0,0.4711042752033473,6,35.0,0.5057029810822957,2,7.0,0.5426258008593273,2,14.0,0.3363441806157839,6,72.0,0.10704697255817676,7,66.0,0.5674165322706434,0,8.0,0.8657724500547639,0,7.0,0.7738084549263339,1,15.0,0.6633059032739452,53,494.0
185.0,39,218.0,0.889795918367347,7.815322508790264,1,42.0,0.48460632380562296,4,27.0,0.5328019008149668,3,45.0,0.4086862295105515,0,17.0,0.8568491711536691,3,18.0,0.5152753030045025,5,49.0,0.4597097496490055,7,64.0,0.05236943878629077,2,27.0,0.6553509035672438,1,37.0,0.617747857085377,2,12.0,0.42712310633832284,2,19.0,0.5325539569418725,3,36.0,0.46795662212166733,4,66.0,0.416807702276677,0,8.0,0.6073614955645003,2,7.0,0.5095147835596917,0,8.0,0.9080128997641727,39,482.0
190.0,54,345.0,1.3855421686746987,7.105658656643061,3,12.0,0.6000551639625669,7,55.0,0.3780098357373737,5,46.0,0.372946410292192,0,2.0,0.4984106319765639,2,13.0,0.6297677286882644,5,74.0,0.5080288953866002,7,101.0,0.39653835494358475,2,35.0,0.709982291530193,2,18.0,0.47436166989683015,3,20.0,0.5921257574982022,1,6.0,0.7528239074789616,2,25.0,0.46344250142429727,7,45.0,0.25999532449359003,0,8.0,0.35602886082058827,6,33.0,0.39417463259341173,2,10.0,0.5976733969355746,54,503.0
195.0,56,282.0,1.1510204081632653,7.0882431965130435,4,24.0,0.519816441763732,3,48.0,0.33447494627102786,2,47.0,0.5047883686068861,5,24.0,0.15070003628938794,5,26.0,0.5462255216319204,2,56.0,0.27605115281348347,1,89.0,0.5382164025874848,2,47.0,0.5585124634494948,4,23.0,0.5808275418829999,1,22.0,0.7181025374979485,3,17.0,0.711181680438829,5,39.0,0.38591946722556086,5,52.0,0.3334376050573229,5,19.0,0.26462644135198976,7,65.0,0.36403117000322394,2,11.0,0.3352478576799307,56,609.0
200.0,38,215.0,0.83984375,7.3962784458852004,0,17.0,0.6133205937541251,1,19.0,0.5260477132245884,2,13.0,0.532014708651468,1,31.0,0.4965273635416205,3,28.0,0.29826538291353,1,14.0,0.35085377411866336,2,25.0,0.5726150469879628,0,8.0,0.5472000939974779,2,15.0,0.3960935158473217,2,16.0,0.5773624183609303,0,11.0,0.6756696088036299,5,68.0,0.4698806441961939,6,50.0,0.4462886743700759,0,24.0,0.7282256518494831,9,107.0,0.39369468148107745,4,13.0,0.012323815979369941,38,459.0
205.0,40,228.0,0.8837209302325582,7.922992031782708,2,6.0,0.7173200740953091,1,15.0,0.8082936788856879,2,21.0,0.4710732925767405,0,10.0,0.8497243377020991,5,23.0,0.42068632666468136,2,16.0,0.6057948791170117,1,30.0,0.6055870040807003,3,22.0,0.7144245865403732,7,26.0,0.32868682302903346,1,10.0,0.3594503011824466,3,8.0,0.37872168747004586,5,93.0,0.6506610525174912,3,54.0,0.4674145528848006,0,8.0,0.8912267451758996,5,104.0,0.33689203364631665,0,19.0,0.24757266934996616,40,465.0
210.0,37,111.0,0.43529411764705883,7.418389698875978,0,1.0,0.632348387283534,1,5.0,0.8343767679739933,3,22.0,0.5056980487382289,3,13.0,0.5012973363285438,4,32.0,0.33189014992212845,1,10.0,0.8342520604290111,3,32.0,0.5563019653623924,0,11.0,0.6499296504747034,3,41.0,0.38992900143073234,3,16.0,0.38633101965774624,2,22.0,0.3112537947870179,2,66.0,0.4833625262231307,8,52.0,0.37274396559071754,1,3.0,0.5662440972505823,3,59.0,0.39216176798299346,0,6.0,0.80655041949733,37,391.0
215.0,67,335.0,1.2546816479400749,7.446205871225619,3,8.0,0.6545388484635395,2,7.0,0.6683823599177996,7,49.0,0.5156089602360612,7,36.0,0.10355969518961242,5,37.0,0.29266165427561114,2,17.0,0.5349237833716443,7,58.0,0.3813658004083962,4,9.0,0.5497640073241812,3,16.0,0.6916258647512861,5,36.0,0.5767494540757774,3,20.0,0.6219599740984401,1,14.0,0.22909296253372619,12,103.0,0.19685816006008036,4,17.0,0.007054738225490548,2,50.0,0.5191327159749922,0,8.0,0.8667799751759971,67,485.0
220.0,66,424.0,1.5418181818181818,7.323048877378032,0,5.0,0.6813088810045177,1,7.0,0.5294106565378457,3,47.0,0.5120149541206213,7,77.0,0.1230499946918567,1,40.0,0.5304175749395807,7,42.0,0.3258542649826951,13,109.0,0.2399358137299242,1,9.0,0.5783010871912413,4,28.0,0.6406906410707256,7,67.0,0.5785981338269721,5,34.0,0.6282767598780513,2,21.0,0.23237640713648897,7,121.0,0.11160010994620126,0,21.0,0.21598453034297357,8,76.0,0.5560679285432584,0,4.0,0.8964559273039878,66,708.0
